"entity_key","canonical_name","normalized_source_tag","entity_type","parent_entity_key","recommendation_role","retrieval_utility","recommendation_eligible","safety_status","provider_comic_count","provider_prevalence","source"
"fandom_character::JOJO的奇妙冒險: 空條承太郎","JOJO的奇妙冒險: 空條承太郎","jojo: 空條承太郎","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","6","0.001","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::碧藍航線: 獨角獸","碧藍航線: 獨角獸","碧藍航線: 獨角獸","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","5","0.0008333333333333","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::東方: 鍵山雛","東方: 鍵山雛","東方: 鍵山 雛","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","5","0.0008333333333333","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::東方: 犬走椛","東方: 犬走椛","東方: 犬走椛","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","5","0.0008333333333333","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::艦隊Collection: 時津風","艦隊Collection: 時津風","艦娘: 時津風","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","5","0.0008333333333333","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::魔法少女小圓: 巴麻美","魔法少女小圓: 巴麻美","魔法少女小圓: 巴麻美","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","5","0.0008333333333333","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::魔法少女小圓: 曉美焰","魔法少女小圓: 曉美焰","魔法少女小圓: 曉美焰","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","5","0.0008333333333333","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::魔法少女小圓: 佐倉杏子","魔法少女小圓: 佐倉杏子","魔法少女小圓: 佐倉杏子","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","5","0.0008333333333333","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_ip::尼爾自動人形","尼爾自動人形","尼爾自動人形","FANDOM_IP","","CORE","HIGH_PRECISION_ANCHOR","True","OK","5","0.0008333333333333","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::偶像大師灰姑娘: 島村卯月","偶像大師灰姑娘: 島村卯月","偶像大師灰姑娘: 島村卯月","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","5","0.0008333333333333","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::偶像大師灰姑娘: 高垣楓","偶像大師灰姑娘: 高垣楓","偶像大師灰姑娘: 高垣楓","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","5","0.0008333333333333","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_ip::拳皇KOF","拳皇KOF","拳皇kof","FANDOM_IP","","CORE","HIGH_PRECISION_ANCHOR","True","OK","5","0.0008333333333333","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::原神:珊瑚宮心海","原神:珊瑚宮心海","原神:珊瑚宮心海","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","5","0.0008333333333333","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::LOVELIVE: 真姬","LOVELIVE: 真姬","lovelive: 真姬","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","5","0.0008333333333333","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::FATE: 紅A","FATE: 紅A","fate: 紅a","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","4","0.0006666666666666666","V3_TIER2_ADJUDICATION"
"fandom_character::科學超電磁砲: 御坂美琴","科學超電磁砲: 御坂美琴","超砲: 御坂美琴","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","3","0.0005","V3_TIER2_ADJUDICATION"
"fandom_character::To LOVEる: 美柑","To LOVEる: 美柑","to love: 美柑","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","3","0.0005","V3_TIER2_ADJUDICATION"
"fandom_character::科學超電磁砲: 佐天淚子","科學超電磁砲: 佐天淚子","超砲: 佐天淚子","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","3","0.0005","V3_TIER2_ADJUDICATION"
"fandom_character::原神: 阿蕾奇諾","原神: 阿蕾奇諾","原神: 阿蕾奇諾","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","4","0.0006666666666666666","V3_TIER2_ADJUDICATION"
"fandom_character::原神: 琳妮特","原神: 琳妮特","原神: 琳妮特","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","3","0.0005","V3_TIER2_ADJUDICATION"
"fandom_character::艦隊Collection: 愛宕","艦隊Collection: 愛宕","艦娘: 愛宕","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","3","0.0005","V3_TIER2_ADJUDICATION"
"fandom_character::原神: 魈","原神: 魈","原神:魈","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","3","0.0005","V3_TIER2_ADJUDICATION"
"fandom_character::東方: 風見幽香","東方: 風見幽香","東方: 風見幽香","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","4","0.0006666666666666666","V3_TIER2_ADJUDICATION"
"fandom_ip::咒術回戰","咒術回戰","咒術回戰","FANDOM_IP","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","3","0.0005","V3_TIER2_ADJUDICATION"
"fandom_character::東方: 小惡魔","東方: 小惡魔","東方: 小惡魔","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","4","0.0006666666666666666","V3_TIER2_ADJUDICATION"
"fandom_character::魔法少女☆伊莉雅: 美遊","魔法少女☆伊莉雅: 美遊","魔法少女☆伊莉雅: 美遊","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","4","0.0006666666666666666","V3_TIER2_ADJUDICATION"
"fandom_character::東方: 聖白蓮","東方: 聖白蓮","東方: 聖白蓮","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","3","0.0005","V3_TIER2_ADJUDICATION"
"fandom_ip::庫洛魔法使","庫洛魔法使","庫洛魔法使","FANDOM_IP","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","4","0.0006666666666666666","V3_TIER2_ADJUDICATION"
"fandom_character::東方: 藤原妹紅","東方: 藤原妹紅","東方:藤原妹紅","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","4","0.0006666666666666666","V3_TIER2_ADJUDICATION"
"fandom_character::原神: 可莉","原神: 可莉","原神:可莉","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","3","0.0005","V3_TIER2_ADJUDICATION"
"fandom_character::東方: 影狼","東方: 影狼","東方: 影狼","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","3","0.0005","V3_TIER2_ADJUDICATION"
"fandom_character::原神: 茜特菈莉","原神: 茜特菈莉","原神: 茜特菈莉","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","3","0.0005","V3_TIER2_ADJUDICATION"
"fandom_character::原神: 麗莎","原神: 麗莎","原神:麗莎","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","3","0.0005","V3_TIER2_ADJUDICATION"
"fandom_character::碧藍航線: 光輝","碧藍航線: 光輝","碧藍航線: 光輝","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","3","0.0005","V3_TIER2_ADJUDICATION"
"fandom_ip::Project SEKAI","Project SEKAI","project sekai","FANDOM_IP","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","4","0.0006666666666666666","V3_TIER2_ADJUDICATION"
"fandom_character::Project SEKAI: 東雲彰人","Project SEKAI: 東雲彰人","プロセカ: 東雲彰人","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","4","0.0006666666666666666","V3_TIER2_ADJUDICATION"
"fandom_character::Project SEKAI: 青柳冬彌","Project SEKAI: 青柳冬彌","プロセカ: 青柳冬彌","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","4","0.0006666666666666666","V3_TIER2_ADJUDICATION"
"fandom_character::To LOVEる: 古手川唯","To LOVEる: 古手川唯","to love: 古手川","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","4","0.0006666666666666666","V3_TIER2_ADJUDICATION"
"fandom_character::To LOVEる: 茉茉","To LOVEる: 茉茉","to love: 茉茉","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","3","0.0005","V3_TIER2_ADJUDICATION"
"fandom_ip::偶像大師U149","偶像大師U149","偶像大師u149","FANDOM_IP","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","4","0.0006666666666666666","V3_TIER2_ADJUDICATION"
"fandom_character::原神: 班尼特","原神: 班尼特","原神:班尼特","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","3","0.0005","V3_TIER2_ADJUDICATION"
"fandom_character::原神: 賽諾","原神: 賽諾","原神: 賽諾","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","4","0.0006666666666666666","V3_TIER2_ADJUDICATION"
"fandom_ip::薩爾達傳說","薩爾達傳說","薩爾達傳說","FANDOM_IP","","CORE","HIGH_PRECISION_ANCHOR","True","OK","3","0.0005","V3_TIER2_ADJUDICATION"
