"normalized_tag","canonical_tag","facet","recommendation_role","retrieval_utility","recommendation_eligible","safety_status","provider_comic_count","provider_prevalence","source"
"c77","C77","PUBLICATION_EVENT","IGNORE","EXCLUDE","False","OK","10","0.0016666666666666","V3_COMPILED_AUTHORITY"
"c78","C78","PUBLICATION_EVENT","IGNORE","EXCLUDE","False","OK","10","0.0016666666666666","V3_COMPILED_AUTHORITY"
"射精管理","射精管理","CONTROL_COERCION","CORE","HIGH_PRECISION_ANCHOR","True","OK","8","0.0013333333333333","V3_COMPILED_AUTHORITY"
"丸吞","丸吞","FETISH_TROPE","CORE","HIGH_PRECISION_ANCHOR","True","OK","8","0.0013333333333333","V3_COMPILED_AUTHORITY"
"繃帶","繃帶","APPEARANCE_OUTFIT","CORE","CONJUNCTION_ANCHOR","True","OK","7","0.0011666666666666","V3_COMPILED_AUTHORITY"
"殭屍/喪屍","殭屍 / 喪屍","SPECIES_FANTASY","CORE","HIGH_PRECISION_ANCHOR","True","OK","7","0.0011666666666666","V3_COMPILED_AUTHORITY"
"擴張","擴張","SEXUAL_BEHAVIOR","CORE","CONJUNCTION_ANCHOR","True","OK","7","0.0011666666666666","V3_COMPILED_AUTHORITY"
"身體交換","身體交換","STORY_TROPE","CORE","HIGH_PRECISION_ANCHOR","True","OK","7","0.0011666666666666","V3_COMPILED_AUTHORITY"
"c74","C74","PUBLICATION_EVENT","IGNORE","EXCLUDE","False","OK","7","0.0011666666666666","V3_COMPILED_AUTHORITY"
"c76","C76","PUBLICATION_EVENT","IGNORE","EXCLUDE","False","OK","7","0.0011666666666666","V3_COMPILED_AUTHORITY"
"cuntboy","Cuntboy","BODY_ATTRIBUTE","CORE","CONJUNCTION_ANCHOR","True","OK","7","0.0011666666666666","V3_COMPILED_AUTHORITY"
"乳頭刺激","乳頭刺激","SEXUAL_BEHAVIOR","CORE","CONJUNCTION_ANCHOR","True","OK","6","0.001","V3_COMPILED_AUTHORITY"
"黑幫 / 黑道","黑幫 / 黑道","GENRE_THEME","CORE","SECONDARY_RECALL","True","OK","5","0.0008333333333333","V3_COMPILED_AUTHORITY"
"近親相交: 兄","近親相交: 兄","RELATIONSHIP","CORE","HIGH_PRECISION_ANCHOR","True","OK","5","0.0008333333333333","V3_COMPILED_AUTHORITY"
"abo","ABO / Omegaverse","STORY_TROPE","CORE","HIGH_PRECISION_ANCHOR","True","OK","5","0.0008333333333333","V3_COMPILED_AUTHORITY"
"乳房","乳房","BODY_ATTRIBUTE","MODIFIER","MODIFIER_ONLY","True","OK","3","0.0005","V3_COMPILED_AUTHORITY"
"中古鎧甲","中古鎧甲","APPEARANCE_OUTFIT","MODIFIER","MODIFIER_ONLY","True","OK","3","0.0005","V3_COMPILED_AUTHORITY"
"舔菊","舔菊","SEXUAL_BEHAVIOR","CORE","HIGH_PRECISION_ANCHOR","True","OK","3","0.0005","V3_COMPILED_AUTHORITY"
"蛇女/拉米亞","拉米亞","SPECIES_FANTASY","CORE","HIGH_PRECISION_ANCHOR","True","OK","3","0.0005","V3_COMPILED_AUTHORITY"
"皮物","皮物","FETISH_TROPE","SECONDARY","CONJUNCTION_ANCHOR","True","OK","4","0.0006666666666666666","V3_COMPILED_AUTHORITY"
"c70","C70","PUBLICATION_EVENT","IGNORE","EXCLUDE","False","OK","3","0.0005","V3_COMPILED_AUTHORITY"
"偵探/犯罪","偵探/犯罪","GENRE_THEME","CORE","BROAD_RECALL","True","OK","3","0.0005","V3_COMPILED_AUTHORITY"
"異種奸","異種奸","FETISH_TROPE","CORE","HIGH_PRECISION_ANCHOR","True","OK","3","0.0005","V3_COMPILED_AUTHORITY"
"轉生","轉生","STORY_TROPE","CORE","BROAD_RECALL","True","OK","3","0.0005","V3_COMPILED_AUTHORITY"
"禮服","禮服","APPEARANCE_OUTFIT","MODIFIER","MODIFIER_ONLY","True","OK","3","0.0005","V3_COMPILED_AUTHORITY"
"懸疑","懸疑","GENRE_THEME","CORE","BROAD_RECALL","True","OK","3","0.0005","V3_COMPILED_AUTHORITY"
"狼人","狼人","SPECIES_FANTASY","CORE","HIGH_PRECISION_ANCHOR","True","OK","3","0.0005","V3_COMPILED_AUTHORITY"
"陰蒂巨大化","陰蒂巨大化","BODY_ATTRIBUTE","SECONDARY","CONJUNCTION_ANCHOR","True","OK","4","0.0006666666666666666","V3_COMPILED_AUTHORITY"
"comic1☆17","COMIC1☆17","PUBLICATION_EVENT","IGNORE","EXCLUDE","False","OK","3","0.0005","V3_COMPILED_AUTHORITY"
"公園","公園","SETTING_LOCATION","MODIFIER","MODIFIER_ONLY","True","OK","3","0.0005","V3_COMPILED_AUTHORITY"
"comic1☆6","COMIC1☆6","PUBLICATION_EVENT","IGNORE","EXCLUDE","False","OK","3","0.0005","V3_COMPILED_AUTHORITY"
"逆後宮","逆後宮","STORY_TROPE","CORE","HIGH_PRECISION_ANCHOR","True","OK","3","0.0005","V3_COMPILED_AUTHORITY"
"c75","C75","PUBLICATION_EVENT","IGNORE","EXCLUDE","False","OK","4","0.0006666666666666666","V3_COMPILED_AUTHORITY"
"comic1☆16","COMIC1☆16","PUBLICATION_EVENT","IGNORE","EXCLUDE","False","OK","3","0.0005","V3_COMPILED_AUTHORITY"
